transect_id,first_year,last_year,NSM_m,EPR_m_yr,x,y
0,2018,2025,-183.89,-26.27,502547.91065736476,5999561.094266361
1,2018,2025,-190.97,-27.281,502409.6661281713,5999416.565894931
2,2018,2025,-192.54,-27.506,502282.51219811896,5999264.485904361
3,2018,2025,-211.0,-30.143,502198.70056262653,5999082.894027461
4,2018,2025,-264.33,-37.761,502114.88892713416,5998901.3021505615
5,2018,2025,-220.0,-31.429,502110.0,5998702.375939087
6,2018,2025,-200.0,-28.571,502110.0,5998502.375939087
7,2018,2025,-302.0,-43.143,502137.43307354895,5998309.875433787
8,2018,2025,-175.23,-25.032,502239.17893597425,5998137.690128144
9,2018,2025,-138.72,-19.817,502340.92479839956,5997965.504822501
10,2018,2025,-134.36,-19.194,502458.50506344286,5997805.437660184
11,2018,2025,-56.57,-8.082,502445.35484036617,5997662.305873871
12,2018,2025,-52.17,-7.454,502314.51683255966,5997512.888047119
13,2018,2025,-49.6,-7.085,502225.0741134596,5997334.0026089195
14,2018,2025,-55.9,-7.986,502135.63139435963,5997155.117170719
15,2018,2025,-53.83,-7.69,502110.0,5996961.167922146
16,2018,2025,-36.17,-5.167,502110.0,5996761.167922146
17,2018,2025,-20.0,-2.857,502110.0,5996561.167922146
18,2018,2025,-46.83,-6.69,502208.52956989955,5996388.79719027
19,2018,2025,-14.55,-2.079,502312.51895927865,5996217.957479147
20,2018,2025,-7.63,-1.09,502417.4242387531,5996047.82824961
21,2018,2025,91.92,13.132,502488.6899765442,5995905.060826442
22,2018,2025,144.31,20.616,502347.26862030686,5995763.639470206
23,2018,2025,91.55,13.078,502252.793808561,5995593.203553818
24,2018,2025,115.95,16.564,502189.54825535766,5995403.4668942075
